Epoch,Train Loss,Val Loss,Train Acc,Val Acc
1,1.7775,1.4197,0.3341,0.4704
2,1.2897,1.2743,0.5008,0.5667
3,1.1089,0.8982,0.5707,0.6667
4,0.9236,0.6569,0.6493,0.7741
5,0.779,0.5821,0.7031,0.7852
6,0.6828,0.5791,0.7409,0.7778
7,0.6051,0.4747,0.7774,0.8185
8,0.5441,0.4358,0.8039,0.8444
9,0.4725,0.4379,0.8292,0.8259
10,0.4283,0.3846,0.8484,0.8593
11,0.3882,0.4843,0.8672,0.8519
12,0.3449,0.388,0.879,0.8667
13,0.333,0.4402,0.8848,0.863
14,0.2934,0.3813,0.8974,0.8852
15,0.2706,0.3793,0.9099,0.863
16,0.25,0.4801,0.916,0.8704
17,0.2315,0.3807,0.9259,0.8889
18,0.2138,0.3814,0.9287,0.8889
19,0.1946,0.4991,0.9342,0.8704
20,0.1962,0.5446,0.9361,0.8741
